ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"104.21.85.200","elite","AS13335","US","Cloudflare, Inc.","83","Cloudflare, Inc.","80","socks5","4396","1","2023-07-28T11:18:52.945Z","100","3087","3087"
"192.154.244.92","elite","AS64200","US","Vivid-hosting LLC","145","Vivid-hosting LLC","9000","socks4","4707","1","2023-07-28T11:18:52.939Z","100","3113","3120"
"174.100.109.131","elite","AS10796","US","Charter Communications","121","Spectrum","10019","socks4","4898","1","2023-07-28T11:18:47.640Z","100","3091","3101"
"192.210.148.89","elite","AS36352","US","ColoCrossing","203","ColoCrossing","80","socks4","5096","1","2023-07-28T11:18:47.647Z","100","2995","3000"
"172.67.181.234","elite","AS13335","US","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","4690","1","2023-07-28T11:18:47.641Z","100","3014","3014"
"69.163.252.140","elite","AS26347","US","New Dream Network, LLC","151","New Dream Network, LLC","10754","socks4","4798","1","2023-07-28T11:18:44.936Z","100","3081","3082"
"64.227.104.2","elite","AS14061","US","DigitalOcean, LLC","194","DigitalOcean, LLC","13166","socks4","3890","1","2023-07-28T11:18:44.938Z","49","1523","3114"
"172.67.3.108","elite","AS13335","US","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","417","1","2023-07-28T11:18:42.940Z","100","3006","3006"
"45.196.148.67","elite","AS7018","US","AT&T Services","83","AQUA Networks Limited","5432","socks4","903","1","2023-07-28T11:18:42.942Z","97","2986","3065"
"68.183.128.131","elite","AS14061","US","DigitalOcean, LLC","82","DigitalOcean, LLC","8080","socks4","4811","1","2023-07-28T11:18:40.643Z","78","2409","3089"
"174.108.154.1","elite","AS11426","US","Spectrum","107","Fastlink Communications","32940","socks4","4907","1","2023-07-28T11:18:35.245Z","100","3132","3134"
"75.182.38.113","elite","AS11426","US","Charter Communications","107","Spectrum","5678","socks4","4701","1","2023-07-28T11:18:35.246Z","97","2969","3056"
"172.67.181.11","elite","AS13335","US","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","4308","1","2023-07-28T11:18:32.934Z","100","3019","3020"
"45.77.111.135","elite","AS20473","US","The Constant Company","86","Vultr Holdings, LLC","15082","socks5","4401","1","2023-07-28T11:18:32.837Z","100","3086","3086"
"104.255.170.65","elite","AS397373","US","H4Y Technologies LLC","157","N/A","53623","socks5","4896","1","2023-07-28T11:18:30.346Z","100","3127","3128"
"45.15.170.94","elite","AS35913","US","DediPath","141","DediPath","32768","socks4","5011","86","2023-07-28T11:18:27.450Z","97","2950","3030"
"104.35.140.42","elite","AS20001","US","Charter Communications","153","Spectrum","80","socks4","4897","1","2023-07-28T11:18:27.449Z","100","2997","2998"
"173.236.184.128","elite","AS26347","US","New Dream Network, LLC","79","New Dream Network, LLC","10654","socks4","5084","1","2023-07-28T11:18:24.439Z","100","2995","2999"
"108.28.33.157","elite","AS701","US","Verizon Business","83","Verizon Online LLC","8080","socks4","4798","1","2023-07-28T11:18:23.205Z","100","3041","3043"
"104.145.235.200","elite","AS64245","US","DigitalFyre Internet Solutions, LLC.","74","DigitalFyre Internet Solutions, LLC.","3128","socks4","3600","1","2023-07-28T11:18:21.843Z","100","3107","3110"
"45.196.150.46","elite","AS7018","US","AT&T Services, Inc.","81","AQUA Networks Limited","5432","socks4","4705","1","2023-07-28T11:18:19.447Z","98","2997","3064"
"209.141.35.182","elite","AS53667","US","FranTech Solutions","188","FranTech Solutions","32608","socks5","4989","1","2023-07-28T11:18:17.133Z","68","2044","2991"
"104.129.198.54","elite","AS22616","US","ZSCALER, INC.","192","Zscaler, Inc.","10605","socks4","4792","84","2023-07-28T11:18:14.551Z","97","3029","3129"
"104.16.108.149","elite","AS13335","US","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","4786","1","2023-07-28T11:18:14.638Z","100","3019","3019"
"104.20.205.191","elite","AS13335","US","Cloudflare, Inc.","86","Cloudflare, Inc.","80","socks4","4392","1","2023-07-28T11:18:14.547Z","100","3107","3108"
"104.23.125.117","elite","AS13335","US","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","4695","1","2023-07-28T11:18:13.315Z","100","3014","3016"
"203.30.191.34","elite","AS209242","US","Cloudflare London","11","Umpire Associates LTD","80","socks5","2998","1","2023-07-28T11:18:11.550Z","100","3096","3096"
"66.33.212.161","elite","AS26347","US","New Dream Network, LLC","83","New Dream Network, LLC","15891","socks4","4310","82","2023-07-28T11:18:11.548Z","100","3095","3101"
"207.178.166.187","elite","AS5033","US","Key Information Systems","188","Educational Message Services","80","socks4","2892","1","2023-07-28T11:18:11.543Z","99","3080","3098"
"172.67.254.127","elite","AS13335","US","Cloudflare, Inc.","79","Cloudflare, Inc.","80","socks4","4894","1","2023-07-28T11:18:11.541Z","100","3020","3020"
"50.47.75.221","elite","AS20055","US","Wholesail networks LLC","191","Ziply Fiber","5678","socks4","4900","1","2023-07-28T11:18:07.845Z","97","3019","3106"
"8.42.71.5","elite","AS399869","US","Mountain Broadband","125","Level 3, LLC","39593","socks4","3795","1","2023-07-28T11:18:07.841Z","100","3119","3125"
"104.24.15.158","elite","AS13335","US","Cloudflare, Inc.","2","Cloudflare, Inc","80","socks5","5014","1","2023-07-28T11:18:05.446Z","100","3097","3100"
"147.135.36.162","elite","AS16276","US","OVH US LLC","196","OVH HIL","57752","socks5","1590","2","2023-07-28T11:18:03.033Z","100","3090","3091"
"104.20.233.70","elite","AS13335","US","Cloudflare, Inc.","2","Cloudflare, Inc","80","socks4","792","82","2023-07-28T11:17:57.342Z","100","3070","3071"
"165.225.216.80","elite","AS22616","US","ZSCALER, INC.","186","Zscaler, Inc","10605","socks4","5013","1","2023-07-28T11:17:54.253Z","91","2844","3115"
"38.127.179.26","elite","AS174","US","Cogent Communications","90","Torlandia Trading SRL","42908","socks4","4604","1","2023-07-28T11:17:53.002Z","100","3051","3056"
"157.230.186.18","elite","AS14061","US","DigitalOcean, LLC","85","DigitalOcean, LLC","12192","socks4","4704","1","2023-07-28T11:17:53.003Z","83","2490","3001"
